collection,domain,logical_pk,owner_field,purpose,relationships
users,Identity,_id,-,"Tài khoản, vai trò, trạng thái, quota và quyền ghi đè",Tham chiếu bởi user_id/owner_id/student_id/admin_user_id
classes,Identity,_id,owner_id,Lớp học do giảng viên quản lý,student_ids là mảng tham chiếu users
documents,Learning content,_id,user_id,"Metadata học liệu, trạng thái xử lý, Cloudinary và checksum","Gốc của nội dung, chunk, kiểm chứng và bộ câu hỏi"
document_contents,Learning content,_id,user_id,Văn bản trích xuất hoặc transcript,document_id → documents
document_chunks,Learning content,_id,user_id,Chunk văn bản và metadata phục vụ RAG,document_id → documents; vector song song ở ChromaDB
verification_sessions,Learning content,_id,user_id,Phiên kiểm chứng nội dung bằng AI,document_id → documents
verification_issues,Learning content,_id,user_id,"Vấn đề, đề xuất sửa và quyết định duyệt",session_id → verification_sessions; document_id → documents
question_sets,Practice assessment,_id,user_id,"Bộ câu hỏi sinh từ học liệu, chứa questions[] nhúng",document_id → documents; target_class_ids → classes
question_attempts,Practice assessment,_id,user_id,Lượt luyện tập không giới hạn thời gian,question_set_id → question_sets
curriculum_taxonomy,Exam bank,_id,-,Cây môn/chương/chủ đề/chuẩn đầu ra,parent_id tự tham chiếu
questions,Exam bank,_id,owner_id,Câu hỏi độc lập có version và workflow,subject/topic/... → curriculum_taxonomy; source_document_id → documents
exam_blueprints,Exam bank,_id,owner_id,Ma trận/ràng buộc sinh đề,subject_id → curriculum_taxonomy
exams,Exam bank,_id,owner_id,Đề thi và mã đề tương đương,blueprint_id → exam_blueprints; question_ids → questions; target_class_ids → classes
exam_attempts,Exam bank,_id,student_id,"Phiên thi có giờ, autosave, kết quả và chấm điểm",exam_id → exams; results[] nhúng
chat_messages,Conversation,_id,user_id,Lịch sử chat đơn giản theo một tài liệu,document_id → documents
conversations,Conversation,_id,user_id,"Cuộc trò chuyện nâng cao, scope và tài liệu",document_ids → documents
conversation_messages,Conversation,_id,user_id,"Tin nhắn, bằng chứng và citation",conversation_id → conversations
chat_locks,Conversation,_id,user_id,Khóa tương tranh theo cuộc trò chuyện,conversation_id → conversations; TTL expires_at
ai_answer_feedback,Conversation,_id,user_id,Đánh giá câu trả lời AI,message_id → conversation_messages; conversation_id → conversations
web_knowledge_cache,Knowledge,_id,-,Cache kết quả truy vấn web đã grounding,unique normalized_query; TTL expires_at
web_knowledge_sources,Knowledge,_id,owner_id,Nguồn web được lưu và duyệt,Có thể chuyển thành curriculum source
web_knowledge_daily_quota,Knowledge,_id,user_id,Quota khám phá web theo người dùng/ngày,unique user_id + date
curriculum_kb_sources,Knowledge,_id,owner_id,Nguồn tri thức chương trình đã duyệt và ingest,Có thể xuất phát từ web_knowledge_sources
knowledge_components,Personalization,_id,created_by,Khái niệm/đơn vị kiến thức,parent/prerequisite/related và document/chunk references
knowledge_graph_edges,Personalization,_id,created_by,Cạnh prerequisite/related trong knowledge graph,source/target → knowledge_components
learning_items,Personalization,_id,-,Vật phẩm học tập có Q-matrix và độ khó,document/question/chunk/KC references
learning_events,Personalization,_id,user_id,Sự kiện hành vi học chuẩn hóa,item_id → learning_items; KC ids → knowledge_components
learning_sessions,Personalization,_id,user_id,Phiên học và ngữ cảnh,document_id → documents
learner_profiles,Personalization,_id,user_id,"Hồ sơ, mục tiêu, sở thích và năng lực tổng quát",unique user_id → users
learner_knowledge_states,Personalization,_id,user_id,Mastery/BKT/IRT theo người học và KC,unique user_id + knowledge_component_id
recommendation_logs,Personalization,_id,user_id,"Ứng viên, điểm xếp hạng, lý do và phản hồi",item_id → learning_items
cluster_models,Personalization,_id,-,Mô hình K-Means đã version hóa,cluster_type + version unique
bandit_policies,Personalization,_id,-,Chính sách contextual bandit,policy_type + version unique
ai_usage_events,Operations,_id,user_id,"Telemetry request AI, token, độ trễ, chi phí và trạng thái",document/conversation optional references
audit_logs,Operations,_id,actor_user_id,Nhật ký sự kiện quản trị dashboard cũ,actor_user_id → users
user_activity_logs,Operations,_id,user_id,Nhật ký hoạt động người dùng và security,resource_type/resource_id đa hình
admin_audit_logs,Operations,_id,admin_user_id,Audit bất biến cho thao tác quản trị,target_type/target_id đa hình
website_content,Operations,_id,-,Nội dung CMS hiện hành theo section_key,Mỗi section có version
website_content_versions,Operations,_id,-,Snapshot version CMS bất biến,section_key → website_content.section_key
system_settings,Operations,_id,-,Cấu hình runtime,unique key
feature_flags,Operations,_id,-,Cờ tính năng và allowed roles/users,unique key
system_error_logs,Operations,_id,user_id,Lỗi chuẩn hóa theo endpoint/request,request_id/correlation_id
system_health_snapshots,Operations,_id,-,Ảnh chụp sức khỏe thành phần,checked_at
admin_notifications,Operations,_id,created_by,Thông báo theo đối tượng/role/user,target_user_ids → users
notification_reads,Operations,_id,user_id,Trạng thái đã đọc thông báo,notification_id → admin_notifications
background_jobs,Operations,_id,-,"Hàng đợi job MongoDB bền, retry/dead-letter",idempotency_key unique khi có
